Permission,PermissionType
AccessReview.Read.All,Application
AccessReview.Read.All,Delegated
AccessReview.ReadWrite.All,Application
AccessReview.ReadWrite.All,Delegated
AccessReview.ReadWrite.Membership,Application
AccessReview.ReadWrite.Membership,Delegated
AdministrativeUnit.ReadWrite.All,Application
AdministrativeUnit.ReadWrite.All,Delegated
Agreement.ReadWrite.All,Delegated
APIConnectors.Read.All,Delegated
APIConnectors.ReadWrite.All,Delegated
AppCatalog.Read.All,Application
AppCatalog.Submit,Delegated
Application.ReadWrite.All,Application
Application.ReadWrite.All,Delegated
ApprovalRequest.Read.AdminConsentRequest,Application
ApprovalRequest.Read.AdminConsentRequest,Delegated
ApprovalRequest.Read.CustomerLockbox,Application
ApprovalRequest.Read.CustomerLockbox,Delegated
ApprovalRequest.Read.EntitlementManagement,Application
ApprovalRequest.Read.EntitlementManagement,Delegated
ApprovalRequest.Read.PriviligedAccess,Application
ApprovalRequest.Read.PriviligedAccess,Delegated
Channel.Delete.All,Application
Channel.Delete.All,Delegated
Channel.ReadBasic.All,Application
ChannelMember.Read.All,Application
ChannelMember.ReadWrite.All,Delegated
ChannelSettings.Read.All,Application
ChannelSettings.ReadWrite.All,Application
ChannelSettings.ReadWrite.All,Delegated
Chat.Create,Application
Chat.ReadBasic.All,Application
ChatMember.Read,Delegated
ChatMember.Read.All,Application
ChatMember.ReadWrite,Delegated
ChatMember.ReadWrite.All,Application
ChatMessage.Read,Delegated
ChatMessage.Read.All,Application
ChatMessage.Send,Delegated
CloudPC.Read.All,Application
ConsentRequest.Read.All,Delegated
ConsentRequest.ReadWrite.All,Delegated
Device.ReadWrite.All,Application
DeviceManagementApps.Read.All,Application
DeviceManagementApps.ReadWrite.All,Application
DeviceManagementApps.ReadWrite.All,Delegated
DeviceManagementManagedDevices.Read.All,Application
DeviceManagementManagedDevices.Read.All,Delegated
DeviceManagementRBAC.Read.All,Application
DeviceManagementRBAC.Read.All,Delegated
DeviceManagementServiceConfig.Read.All,Application
DeviceManagementServiceConfig.Read.All,Delegated
DeviceManagementServiceConfig.ReadWrite.All,Application
DeviceManagementServiceConfig.ReadWrite.All,Delegated
Directory.Write.Restricted,Application
Directory.Write.Restricted,Delegated
eDiscovery.ReadWrite.All,Delegated
Financials.ReadWrite.All,Delegated
Group.Selected,Application
IdentityUserFlow.Read.All,Application
IdentityUserFlow.Read.All,Delegated
IdentityUserFlow.ReadWrite.All,Application
IdentityUserFlow.ReadWrite.All,Delegated
IMAP.AccessAsUser.All,Delegated
InformationProtectionPolicy.Read,Delegated
InformationProtectionPolicy.Read,Delegated
InformationProtectionPolicy.Read.All,Application
InformationProtectionPolicy.Read.All,Application
Member.Read.Hidden,Application
Member.Read.Hidden,Delegated
OnPremisesPublishingProfiles.ReadWrite.All,Application
OnPremisesPublishingProfiles.ReadWrite.All,Delegated
Policy.Read.ConditionalAccess,Application
Policy.Read.ConditionalAccess,Delegated
Policy.Read.PermissionGrant,Application
Policy.Read.PermissionGrant,Delegated
Policy.ReadWrite.ApplicationConfiguration,Application
Policy.ReadWrite.ApplicationConfiguration,Delegated
Policy.ReadWrite.AuthenticationFlows,Application
Policy.ReadWrite.AuthenticationFlows,Delegated
Policy.ReadWrite.AuthenticationMethod,Application
Policy.ReadWrite.AuthenticationMethod,Delegated
Policy.ReadWrite.Authorization,Application
Policy.ReadWrite.Authorization,Delegated
Policy.ReadWrite.ConditionalAccess,Application
Policy.ReadWrite.ConsentRequest,Application
Policy.ReadWrite.ConsentRequest,Delegated
Policy.ReadWrite.CrossTenantAccess,Application
Policy.ReadWrite.CrossTenantAccess,Delegated
Policy.ReadWrite.DeviceConfiguration,Delegated
Policy.ReadWrite.MobilityManagement,Delegated
Policy.ReadWrite.PermissionGrant,Application
Policy.ReadWrite.PermissionGrant,Delegated
POP.AccessAsUser.All,Delegated
PrintJob.ReadWrite.All,Delegated
ProgramControl.Read.All,Application
ProgramControl.Read.All,Delegated
ProgramControl.ReadWrite.All,Application
ProgramControl.ReadWrite.All,Delegated
RoleManagement.Read.All,Delegated
ServiceHealth.Read.All,Application
ServiceMessage.Read.All,Application
SMTP.Send,Delegated
TeamsAppInstallation.ReadWriteForUser.All,Application
Teamwork.Migrate.All,Application
TeamworkDevice.ReadWrite.All,Application
User.Export.All,Application
User.Export.All,Delegated
User.ManageIdentities.All,Application
