Permission,PermissionType
AccessReview.ReadWrite.All,Application
AccessReview.ReadWrite.All,Delegated
AccessReview.ReadWrite.Membership,Application
AccessReview.ReadWrite.Membership,Delegated
AdministrativeUnit.ReadWrite.All,Application
AdministrativeUnit.ReadWrite.All,Delegated
Application.ReadWrite.All,Application
DeviceManagementRBAC.Read.All,Application
DeviceManagementRBAC.Read.All,Delegated
DeviceManagementServiceConfig.Read.All,Application
DeviceManagementServiceConfig.Read.All,Delegated
DeviceManagementServiceConfig.ReadWrite.All,Application
DeviceManagementServiceConfig.ReadWrite.All,Delegated
Directory.Write.Restricted,Application
Directory.Write.Restricted,Delegated
Group.Selected,Application
IMAP.AccessAsUser.All,Delegated
InformationProtectionPolicy.Read,Delegated
InformationProtectionPolicy.Read,Delegated
InformationProtectionPolicy.Read.All,Application
InformationProtectionPolicy.Read.All,Application
OnPremisesPublishingProfiles.ReadWrite.All,Application
OnPremisesPublishingProfiles.ReadWrite.All,Delegated
Policy.Read.ConditionalAccess,Application
Policy.Read.ConditionalAccess,Delegated
Policy.Read.PermissionGrant,Application
Policy.Read.PermissionGrant,Delegated
Policy.ReadWrite.ApplicationConfiguration,Application
Policy.ReadWrite.ApplicationConfiguration,Delegated
Policy.ReadWrite.AuthenticationFlows,Application
Policy.ReadWrite.AuthenticationFlows,Delegated
Policy.ReadWrite.AuthenticationMethod,Application
Policy.ReadWrite.AuthenticationMethod,Delegated
Policy.ReadWrite.Authorization,Application
Policy.ReadWrite.Authorization,Delegated
Policy.ReadWrite.ConditionalAccess,Application
Policy.ReadWrite.ConsentRequest,Application
Policy.ReadWrite.ConsentRequest,Delegated
Policy.ReadWrite.CrossTenantAccess,Application
Policy.ReadWrite.CrossTenantAccess,Delegated
Policy.ReadWrite.DeviceConfiguration,Delegated
Policy.ReadWrite.MobilityManagement,Delegated
Policy.ReadWrite.PermissionGrant,Application
Policy.ReadWrite.PermissionGrant,Delegated
POP.AccessAsUser.All,Delegated
RoleManagement.Read.All,Delegated
SMTP.Send,Delegated
User.ManageIdentities.All,Application
User.ManageIdentities.All,Delegated
UserAuthenticationMethod.Read.All,Application
UserAuthenticationMethod.ReadWrite.All,Application
UserAuthenticationMethod.ReadWrite.All,Delegated
WindowsUpdates.ReadWrite.All,Application
AuthenticationContext.ReadWrite.All,Application
CloudPC.ReadWrite.All,Application
CustomAuthenticationExtension.Receive.Payload,Application
eDiscovery.ReadWrite.All,Application
LicenseAssignment.ReadWrite.All,Application
LifecycleWorkflows.ReadWrite.All,Application
DeviceManagementManagedDevices.PrivilegedOperations.All,Application
DeviceManagementManagedDevices.PrivilegedOperations.All,Delegated
DeviceManagementManagedDevices.ReadWrite.All,Application
DeviceManagementManagedDevices.ReadWrite.All,Delegated
DeviceManagementRBAC.ReadWrite.All,Application
DeviceManagementRBAC.ReadWrite.All,Delegated
DeviceManagementConfiguration.Read.All,Application
DeviceManagementConfiguration.Read.All,Delegated
DeviceManagementConfiguration.ReadWrite.All,Application
DeviceManagementConfiguration.ReadWrite.All,Delegated
Organization.ReadWrite.All,Application
Organization.ReadWrite.All,Delegated
TeamsAppInstallation.ReadWriteForTeam.All,Application
TeamsAppInstallation.ReadWriteSelfForTeam.All,Application
AuditLog.Read.All,Application
BitlockerKey.Read.All,Application
BitlockerKey.Read.All,Delegated
Policy.ReadWrite.ConditionalAccess,Delegated
Policy.ReadWrite.FeatureRollout,Application
Policy.ReadWrite.FeatureRollout,Delegated
Policy.ReadWrite.TrustFramework,Application
Policy.ReadWrite.TrustFramework,Delegated
Subscription.Read.All,Delegated
ThreatIndicators.Read.All,Application
ThreatIndicators.ReadWrite.OwnedBy,Application
ManagedTenants.Read.All,Delegated
SharePointTenantSettings.ReadWrite.All,Delegated
PrivilegedAssignmentSchedule.Read.AzureADGroup,Application
PrivilegedAssignmentSchedule.ReadWrite.AzureADGroup,Application
PrivilegedEligibilitySchedule.Read.AzureADGroup,Application
PrivilegedEligibilitySchedule.ReadWrite.AzureADGroup,Application
AppRoleAssignment.ReadWrite.All,Application
RoleAssignmentSchedule.Read.Directory,Delegated
RoleAssignmentSchedule.ReadWrite.Directory,Delegated
Policy.ReadWrite.SecurityDefaults,Application
SecurityAlert.Read.All,Application
SecurityAlert.ReadWrite.All,Application
SecurityAnalyzedMessage.Read.All,Application
SecurityAnalyzedMessage.ReadWrite.All,Application
SecurityEvents.Read.All,Delegated
SecurityIncident.Read.All,Application
SecurityIncident.ReadWrite.All,Application
ThreatHunting.Read.All,Application
ThreatIntelligence.Read.All,Application
ThreatSubmission.Read.All,Application
ThreatSubmission.ReadWrite.All,Application
ThreatSubmissionPolicy.ReadWrite.All,Application
ApprovalRequest.ReadWrite.AdminConsentRequest,Application
ApprovalRequest.ReadWrite.AdminConsentRequest,Delegated
ApprovalRequest.ReadWrite.CustomerLockbox,Application
ApprovalRequest.ReadWrite.CustomerLockbox,Delegated
ApprovalRequest.ReadWrite.EntitlementManagement,Application
ApprovalRequest.ReadWrite.EntitlementManagement,Delegated
ApprovalRequest.ReadWrite.PriviligedAccess,Application
ApprovalRequest.ReadWrite.PriviligedAccess,Delegated
AuditLog.Read.All,Delegated
DelegatedPermissionGrant.ReadWrite.All,Application
DelegatedPermissionGrant.ReadWrite.All,Delegated
Domain.Read.All,Application
PrivilegedAccess.Read.AzureAD,Application
PrivilegedAccess.Read.AzureAD,Delegated
PrivilegedAccess.ReadWrite.AzureAD,Application
PrivilegedAccess.ReadWrite.AzureAD,Delegated
PrivilegedAccess.ReadWrite.AzureADGroup,Application
PrivilegedAccess.ReadWrite.AzureResources,Application
